0_1 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
3_34 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
3_36 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
3_41 ['Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial']
3_44 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
3_45 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
3_46 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
3_47 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
3_49 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
3_50 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
3_51 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
3_52 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
3_56 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
3_57 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
3_59 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
3_63 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
3_70 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
3_71 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
3_72 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
3_76 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
3_77 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
4_2 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
4_4 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
4_10 ['Residential', 'Residential', 'Residential', 'Residential', 'Residential', 'Residential']
4_12 ['Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial']
4_14 ['RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake']
4_16 ['RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake']
4_17 ['RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake']
4_18 ['RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake']
4_19 ['RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake']
4_20 ['RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake']
4_23 ['Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial']
4_25 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
4_26 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
4_27 ['Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial']
4_28 ['Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial']
4_29 ['Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial']
4_31 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
4_32 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
4_34 ['Residential', 'Residential', 'Residential', 'Residential', 'Residential', 'Residential']
4_39 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
4_42 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
4_43 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
4_46 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
4_47 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
4_48 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
4_50 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
4_51 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
4_53 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
4_54 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
4_56 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
4_57 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
4_58 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
4_59 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
4_63 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
4_65 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
4_69 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
4_75 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
4_76 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
5_2 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
5_3 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
5_4 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
5_9 ['Residential', 'Residential', 'Residential', 'Residential', 'Residential', 'Residential']
5_12 ['Residential', 'Residential', 'Residential', 'Residential', 'Residential', 'Residential']
5_13 ['Residential', 'Residential', 'Residential', 'Residential', 'Residential', 'Residential']
5_14 ['RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake']
5_16 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
5_17 ['RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake']
5_18 ['RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake']
5_19 ['RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake']
5_20 ['RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake']
5_21 ['RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake']
5_23 ['Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial']
5_25 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
5_27 ['Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial']
5_28 ['Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial']
5_31 ['Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial']
5_32 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
5_37 ['Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial']
5_39 ['Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial']
5_46 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
5_48 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
5_50 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
5_55 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
5_56 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
5_58 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
5_59 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
5_60 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
5_62 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
5_65 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
5_66 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
5_67 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
5_68 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
5_69 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
5_70 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
5_74 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
5_75 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
5_76 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
5_77 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
6_2 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
6_3 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
6_5 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
6_8 ['Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial']
6_12 ['Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial']
6_15 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
6_16 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
6_17 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
6_18 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
6_19 ['RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake']
6_20 ['RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake']
6_21 ['RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake']
6_22 ['RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake']
6_23 ['RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake']
6_25 ['Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial']
6_28 ['Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial']
6_29 ['Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial']
6_32 ['Residential', 'Residential', 'Residential', 'Residential', 'Residential', 'Residential']
6_34 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
6_35 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
6_39 ['Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial']
6_42 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
6_44 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
6_45 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
6_47 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
6_48 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
6_49 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
6_50 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
6_52 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
6_53 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
6_54 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
6_56 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
6_58 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
6_59 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
6_60 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
6_61 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
6_62 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
6_66 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
6_67 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
6_68 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
6_72 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
6_73 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
6_74 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
6_75 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
6_76 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
6_77 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
7_0 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
7_1 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
7_2 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
7_3 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
7_5 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
7_10 ['Residential', 'Residential', 'Residential', 'Residential', 'Residential', 'Residential']
7_12 ['Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial']
7_13 ['Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial']
7_14 ['Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial']
7_16 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
7_18 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
7_19 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
7_21 ['RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake']
7_22 ['RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake']
7_23 ['RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake']
7_24 ['RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake']
7_25 ['Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial']
7_26 ['Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial']
7_27 ['Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial']
7_28 ['Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial']
7_29 ['Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial']
7_32 ['Residential', 'Residential', 'Residential', 'Residential', 'Residential', 'Residential']
7_36 ['Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial']
7_39 ['Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial']
7_40 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
7_41 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
7_43 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
7_51 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
7_53 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
7_54 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
7_55 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
7_58 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
7_62 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
7_63 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
